,salary_in_usd,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_FL,employment_type_FT,employment_type_PT,company_size_M,company_size_S,work_year_2021,work_year_2022,remote_ratio_50,remote_ratio_100,job_title_Data Engineer,job_title_Data Scientist,job_title_Machine Learning Engineer
586,130000,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
587,188100,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
588,139860,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
589,248700,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
590,167100,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
592,123400,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
593,88100,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
595,245000,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
596,205000,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
597,141300,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
598,102100,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
609,177600,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
610,131300,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
611,24000,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
612,24000,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
613,250000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
614,63000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
615,202900,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
616,131300,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
617,145000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
618,115000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
619,115000,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
620,193900,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
621,129300,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
622,180000,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
623,140000,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
